,index,Closest City name,Closest Country code,City name,Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
325,20,taltal,cl,taltal,cl,-25.41,-70.49,15.66,1.06,89.0,0.0
326,5,egvekinot,ru,egvekinot,ru,66.32,-179.17,-0.17,5.36,93.0,88.0
328,19,barrow,us,barrow,us,39.51,-90.4,8.0,3.6,49.0,90.0
329,18,tautira,pf,tautira,pf,-17.73,-149.15,31.0,6.7,66.0,40.0
330,49,chokurdakh,ru,chokurdakh,ru,70.62,147.9,-25.99,1.96,67.0,36.0
331,43,san andres,co,san andres,co,8.22,-76.58,28.0,5.1,74.0,75.0
332,13,barrow,us,barrow,us,39.51,-90.4,8.0,3.6,49.0,90.0
333,32,srednekolymsk,ru,srednekolymsk,ru,67.46,153.71,-24.37,1.51,57.0,8.0
335,35,hilo,us,hilo,us,19.71,-155.08,26.0,2.1,57.0,90.0
336,8,butaritari,ki,butaritari,ki,3.07,172.79,28.41,7.76,98.0,80.0
338,47,bredasdorp,za,bredasdorp,za,-34.53,20.04,17.91,9.06,95.0,0.0
339,20,cape town,za,cape town,za,-33.93,18.42,18.0,4.6,68.0,0.0
340,24,waipawa,nz,waipawa,nz,-39.94,176.59,16.34,4.91,92.0,56.0
342,13,leningradskiy,ru,leningradskiy,ru,69.38,178.42,-6.19,3.56,100.0,80.0
343,26,bambous virieux,mu,bambous virieux,mu,-20.34,57.76,26.0,2.6,78.0,40.0
344,4,mirnyy,ru,mirnyy,ru,56.57,36.46,-3.17,6.71,89.0,68.0
345,29,saint-philippe,re,saint-philippe,re,-21.36,55.77,26.0,3.6,78.0,0.0
346,40,vardo,no,vardo,no,70.37,31.11,-9.0,10.3,72.0,20.0
347,20,tiksi,ru,tiksi,ru,71.64,128.87,-18.27,1.26,78.0,80.0
348,20,kahului,us,kahului,us,20.89,-156.47,27.0,8.2,57.0,40.0
350,19,glamang,ph,glamang,ph,6.16,125.08,23.56,1.51,100.0,76.0
351,33,meulaboh,id,meulaboh,id,4.14,96.13,26.06,2.41,100.0,36.0
352,18,cartagena,co,cartagena,co,5.03,-75.64,24.0,1.5,100.0,20.0
353,6,saint-pierre,pm,saint-pierre,pm,46.77,-56.17,2.39,14.61,94.0,92.0
355,38,malibu,us,malibu,us,33.61,-84.48,15.0,4.6,22.0,1.0
356,39,chokurdakh,ru,chokurdakh,ru,70.62,147.9,-25.99,1.96,67.0,36.0
357,41,naranjal,py,naranjal,py,-25.97,-55.19,27.0,3.1,83.0,75.0
358,24,vardo,no,vardo,no,70.37,31.11,-9.0,10.3,72.0,20.0
360,22,chokurdakh,ru,chokurdakh,ru,70.62,147.9,-25.99,1.96,67.0,36.0
361,49,manuk mangkaw,ph,manuk mangkaw,ph,4.8,119.85,25.44,1.06,100.0,68.0
362,46,longyearbyen,sj,longyearbyen,sj,78.22,15.64,-10.0,5.7,56.0,40.0
363,23,waipawa,nz,waipawa,nz,-39.94,176.59,16.34,4.91,92.0,56.0
364,1,bluff,nz,bluff,nz,-46.6,168.33,12.64,6.06,100.0,80.0
365,15,yulara,au,yulara,au,-25.24,130.99,19.0,2.1,37.0,0.0
366,42,tuatapere,nz,tuatapere,nz,-46.13,167.69,11.91,3.91,100.0,36.0
367,42,talaya,ru,talaya,ru,55.79,84.89,3.89,6.61,94.0,56.0
368,12,hobart,au,hobart,au,-42.88,147.33,14.0,3.6,82.0,75.0
371,18,kaitangata,nz,kaitangata,nz,-46.28,169.85,11.24,2.66,96.0,68.0
372,22,ushuaia,ar,ushuaia,ar,-54.81,-68.31,11.0,6.2,71.0,75.0
373,35,dikson,ru,dikson,ru,73.51,80.55,-25.42,12.86,84.0,20.0
374,32,ponta delgada,pt,ponta delgada,pt,37.73,-25.67,16.0,4.6,100.0,40.0
375,43,kavaratti,in,kavaratti,in,10.57,72.64,28.39,4.61,100.0,0.0
376,47,butaritari,ki,butaritari,ki,3.07,172.79,28.41,7.76,98.0,80.0
377,48,vaini,to,vaini,to,-21.2,-175.2,29.0,2.16,79.0,75.0
378,35,tiksi,ru,tiksi,ru,71.64,128.87,-18.27,1.26,78.0,80.0
379,48,waipawa,nz,waipawa,nz,-39.94,176.59,16.34,4.91,92.0,56.0
380,16,chokurdakh,ru,chokurdakh,ru,70.62,147.9,-25.99,1.96,67.0,36.0
